Accession ID,HA Segment ID,Virus name,Collection date,Location,Passage history,Originating lab,Originating sample ID,Submitting lab,Submitting sample ID,Submitter,Authors,Publication,Submission date,Update date,Representative accession
EPI_ISL_18133416,EPI2712225|A/Blue-winged Teal/South Carolina/USDA-000345-003/2021_HA,A/Blue-winged Teal/South Carolina/USDA-000345-003/2021,12/30/21,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.",,8/24/23,,EPI_ISL_18133029
EPI_ISL_18132373,EPI2703896|A/Northern Pintail/North Carolina/USDA-001330-008/2022_HA,A/Northern Pintail/North Carolina/USDA-001330-008/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18132366,EPI2703840|A/Northern Shoveler/North Carolina/USDA-001330-016/2022_HA,A/Northern Shoveler/North Carolina/USDA-001330-016/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133457,EPI2712556|A/Gadwall/North Carolina/USDA-001330-021/2022_HA,A/Gadwall/North Carolina/USDA-001330-021/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133453,EPI2712524|A/Gadwall/North Carolina/USDA-001330-032/2022_HA,A/Gadwall/North Carolina/USDA-001330-032/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133449,EPI2712492|A/Gadwall/North Carolina/USDA-001672-002/2022_HA,A/Gadwall/North Carolina/USDA-001672-002/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133480,EPI2712733|A/Green-winged Teal/North Carolina/USDA-001673-001/2022_HA,A/Green-winged Teal/North Carolina/USDA-001673-001/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133140,EPI2710027|A/American Wigeon/North Carolina/USDA-001329-001/2022_HA,A/American Wigeon/North Carolina/USDA-001329-001/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133133,EPI2709969|A/American Wigeon/North Carolina/USDA-001330-001/2022_HA,A/American Wigeon/North Carolina/USDA-001330-001/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133130,EPI2709945|A/American Wigeon/North Carolina/USDA-001330-009/2022_HA,A/American Wigeon/North Carolina/USDA-001330-009/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133124,EPI2709897|A/American Wigeon/North Carolina/USDA-001330-012/2022_HA,A/American Wigeon/North Carolina/USDA-001330-012/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133113,EPI2709811|A/American Wigeon/North Carolina/USDA-001330-018/2022_HA,A/American Wigeon/North Carolina/USDA-001330-018/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133109,EPI2709778|A/American Wigeon/North Carolina/USDA-001330-019/2022_HA,A/American Wigeon/North Carolina/USDA-001330-019/2022,1/8/22,North America / United States / North Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
